880|| هتلداری|| هتلداری|| هتلداری
896|| لند آریث|| تبیین حلی شکل سایت لند راهی کشور آریث اپلیکیشن نیازها جنبه ریاضی رشد تکنو لوژی بازسازی افزار مشکل رسانه پرداختن شبکه رفع طراح ریاضی عوض ابزار وسائل|| ریاضی
897|| آشپز|| متد آموزان برگ زار کنندگان بازار محور هنرجو شغل اصول آشپز|| 
898|| آشپز عسل|| آموزان شاپ پخت کیک آشپز تزیین خانم شرح شرینی هنرجو شهرستان فینگر مدرسان ملک متد نان اصول قناد ودو سابقه الملل محدوده بازار دراستان خراسان آشپز آقایان شیرینی دسر نیمه برگ زار کنندگان حیطه متصدی دکور پز محور غذا عسل شغل پزی هنر|| 
899|| آشپز گیلاس|| هتل آموزان شاپ حوزه میز زن ساز کیک رضاشهر مایک روویو آشپز منطقه آرای گیلاس شغل آرای هنرجو سفره طباخ متد اصول سبزی نان بازار آشپز شیرینی نانوای هتلداری دسر ترساز برگ زار کنندگان متصدی کباب سرا آبزیان ونیمه محور غذا قهوه میوه شیرنی پزی قناد|| 
900|| ماوراء آشپز|| متد رائه محدوده آموزان صنایع برگ زار کنندگان بازار کلاهدوز پزی محور هنرجو ارائه شغل اصول آشپز گواه ینامه شیرینی الملل|| 
901|| مرصع آشپز|| آموزان پخت کیک آشپز فانتزی تزیین هنرجو متد اصول الملل قناد محدوده بازار فردوس کوکی شیرینی دسر برگ زار کنندگان غذا محور شغل پزی|| 
902|| فنی نجفی|| بافی پخت کیک ارائه آشپز وزارت تزیین صنایع ظروف مجتمع هنرجو دیپلم مجسمه الملل سابقه محدوده دکوپاژ کلاهدوز شمع کارها آقایان شیرینی بانوان دسر خدمت نجفی قلاب غذا ترک گلسازی رسانی تریکو عروسک پزی|| بافی جامع سازي بافتنی آشپز اشپزی باریستا مجسمه گرم دکوپاژ نوشیدنی بارتندری شمع شیرینی گلسازي سرو قلاب تریکو عروسک سرد شیرنی پزی
903|| آتيه خیاطی نگر|| متد آتيه امتحان مربی پروانه خیاطی طراح نگر روزترین کشور ابتدای دوخت هنرجو آکادمی ارائه مدیریت گواه ینامه|| نازک فنی پالتو مانتو خیاطی دوزی دوخت لباس ضخیم
905|| پوشش وجود آرا خیاطی ندارد|| متد پوشش امتحان مربی پروانه خیاطی طراح روزترین آرا کشور ابتدای دوخت هنرجو آکادمی ارائه مدیریت گواه ینامه|| نازک فنی پالتو مانتو خیاطی دوزی دوخت لباس ضخیم
906|| آراسته وجود خیاطی ندارد|| متد امتحان مربی پروانه خیاطی طراح روزترین کشور ابتدای دوخت هنرجو آکادمی ارائه مدیریت گواه ینامه|| نازک فنی پالتو مانتو خیاطی دوزی دوخت لباس ضخیم
907|| خیاطی آرام وجود ندارد|| متد امتحان مربی پروانه خیاطی طراح روزترین کشور ابتدای دوخت هنرجو آکادمی ارائه مدیریت گواه ینامه|| نازک فنی پالتو مانتو خیاطی دوزی دوخت لباس ضخیم
909|| فنی آرمیتا|| ان تامین قسط نیرو تربیت نیرو توسعه آرمیتا ایمان کشور ارزش راههای عوامل علوم نظام فنون سرمایه کرامت بخشهای جمهوری عدل منابع تجارب استقلال|| فنی موسیقی خیاطی هنری همراه پزی عروسک جوش مهارت الگو جواهر سازی آشپز شیرینی
910|| خیاطی ندارد آروشا وجود|| متد امتحان مربی پروانه خیاطی طراح روزترین آروشا کشور ابتدای دوخت هنرجو آکادمی ارائه مدیریت گواه ینامه|| نازک فنی پالتو مانتو خیاطی دوزی دوخت لباس ضخیم
911|| عمران آريان عدم پاسخگو|| آريان|| عمران 4D عمران
913|| عمران اشتباه است آر شماره|| آر|| عمران 4D عمران
915|| عمران پاسخگو ارمغان عدم|| عمران ارمغان|| عمران 4D عمران
916|| عمران پاسخگو اشتياق عدم|| قدرت برق عمران کنترل|| عمران 4D عمران
917|| انیشوران مکانیک|| امامت مکانیک انديشوران|| افزار نرم مکانیک
918|| عمران اوژن عدم پاسخگو|| اوژن عمران|| عمران 4D عمران
